id|room|start date|end date|request id
128|S0|2016-05-06|2016-05-11|67
129|S1|2016-05-06|2016-05-11|67
130|S2|2016-05-06|2016-05-11|67
131|S3|2016-05-06|2016-05-11|67
132|D4|2016-05-20|2016-05-31|68
133|D0|2016-06-16|2016-06-20|69
134|L1|2016-05-05|2016-05-10|70
135|S16|2016-06-28|2016-07-07|71
136|S17|2016-06-28|2016-07-07|71
137|S18|2016-06-28|2016-07-07|71
138|S19|2016-06-28|2016-07-07|71
139|S20|2016-06-28|2016-07-07|71
140|N7|2016-05-28|2016-06-01|73
141|N8|2016-05-28|2016-06-01|73
142|N9|2016-05-28|2016-06-01|73
143|N10|2016-05-28|2016-06-01|73
144|N11|2016-05-28|2016-06-01|73
145|N12|2016-05-28|2016-06-01|73
146|N13|2016-05-28|2016-06-01|73
147|N14|2016-05-28|2016-06-01|73
148|D1|2016-06-10|2016-06-14|74
149|L1|2016-05-04|2016-05-05|75
150|L5|2016-05-04|2016-05-05|75
151|D14|2016-06-26|2016-06-28|76
152|N1|2016-06-10|2016-06-12|77
153|N2|2016-06-10|2016-06-12|77
154|L0|2016-05-08|2016-05-13|78
155|S0|2016-05-26|2016-06-03|79
156|S1|2016-05-26|2016-06-03|79
157|L7|2016-05-09|2016-05-14|80
158|X0|2016-04-26|2016-05-02|81
159|X1|2016-04-26|2016-05-02|81
160|L0|2016-04-27|2016-05-07|82
161|X0|2016-06-13|2016-06-17|83
162|N15|2016-05-31|2016-06-12|84
163|N16|2016-05-31|2016-06-12|84
164|N17|2016-05-31|2016-06-12|84
165|N18|2016-05-31|2016-06-12|84
166|N19|2016-05-31|2016-06-12|84
167|S2|2016-05-19|2016-06-05|85
168|S3|2016-05-19|2016-06-05|85
169|D6|2016-06-09|2016-06-10|86
170|S4|2016-05-06|2016-05-17|87
171|S5|2016-05-06|2016-05-17|87
172|S0|2016-06-17|2016-06-26|88
173|S1|2016-06-17|2016-06-26|88
174|S2|2016-06-17|2016-06-26|88
175|S3|2016-06-17|2016-06-26|88
176|N20|2016-05-28|2016-06-02|89
177|N21|2016-05-28|2016-06-02|89
178|N22|2016-05-28|2016-06-02|89
179|L8|2016-04-06|2016-04-12|90
180|N0|2016-04-25|2016-04-29|91
181|N1|2016-04-25|2016-04-29|91
182|N2|2016-04-25|2016-04-29|91
183|D10|2016-06-26|2016-06-29|93
184|D19|2016-06-26|2016-06-29|93
185|D20|2016-06-26|2016-06-29|93
186|D0|2016-05-06|2016-05-12|94
187|X2|2016-05-30|2016-06-06|95
188|S14|2016-06-01|2016-06-06|96
189|S15|2016-06-01|2016-06-06|96
190|S16|2016-06-01|2016-06-06|96
191|X0|2016-04-21|2016-04-25|97
192|S32|2016-06-10|2016-06-11|98
193|S33|2016-06-10|2016-06-11|98
194|S73|2016-06-10|2016-06-11|98
195|S80|2016-06-10|2016-06-11|98
196|S4|2016-06-17|2016-06-18|99
197|S5|2016-06-17|2016-06-18|99
198|S9|2016-06-17|2016-06-18|99
199|S10|2016-06-17|2016-06-18|99
200|D2|2016-05-17|2016-05-20|100
201|D3|2016-05-17|2016-05-20|100
202|S2|2016-06-07|2016-06-15|101
203|S3|2016-06-07|2016-06-15|101
204|S8|2016-04-19|2016-04-24|102
205|S9|2016-04-19|2016-04-24|102
206|S10|2016-04-19|2016-04-24|102
207|S11|2016-04-19|2016-04-24|102
208|S12|2016-04-19|2016-04-24|102
209|X3|2016-05-24|2016-05-28|103
210|X4|2016-05-24|2016-05-28|103
211|X5|2016-05-24|2016-05-28|103
212|D2|2016-04-03|2016-04-06|104
213|S4|2016-06-18|2016-06-20|105
214|S5|2016-06-18|2016-06-20|105
215|D0|2016-04-12|2016-04-14|106
216|D1|2016-04-12|2016-04-14|106
217|D2|2016-04-12|2016-04-14|106
218|N3|2016-04-16|2016-04-20|107
219|N4|2016-04-16|2016-04-20|107
220|N7|2016-04-16|2016-04-20|107
221|N8|2016-04-16|2016-04-20|107
222|N9|2016-04-16|2016-04-20|107
223|N13|2016-04-16|2016-04-20|107
224|L2|2016-05-03|2016-05-16|108
225|L0|2016-04-09|2016-04-11|109
226|S0|2016-04-07|2016-04-09|110
227|S1|2016-04-07|2016-04-09|110
228|S2|2016-04-07|2016-04-09|110
229|S3|2016-04-07|2016-04-09|110
230|X1|2016-06-15|2016-06-22|111
231|X0|2016-06-06|2016-06-11|112
232|X1|2016-06-06|2016-06-11|112
233|S4|2016-05-31|2016-06-03|114
234|S5|2016-05-31|2016-06-03|114
235|S6|2016-05-31|2016-06-03|114
236|S7|2016-05-31|2016-06-03|114
237|N9|2016-05-21|2016-05-25|115
238|N10|2016-05-21|2016-05-25|115
239|N11|2016-05-21|2016-05-25|115
240|L2|2016-05-30|2016-06-02|116
241|L4|2016-06-29|2016-07-02|117
242|N0|2016-06-13|2016-06-17|118
243|N1|2016-06-13|2016-06-17|118
244|N2|2016-06-13|2016-06-17|118
245|S0|2016-05-11|2016-05-15|119
246|S1|2016-05-11|2016-05-15|119
247|X0|2016-06-23|2016-06-27|120
248|X1|2016-04-21|2016-04-25|121
249|X2|2016-06-06|2016-06-09|122
250|S4|2016-06-25|2016-06-30|123
251|S5|2016-06-25|2016-06-30|123
252|D0|2016-06-10|2016-06-13|124
253|L0|2016-04-15|2016-04-20|127
254|L2|2016-05-21|2016-05-23|128
255|L7|2016-05-21|2016-05-23|128
256|L1|2016-06-13|2016-06-17|129
257|S30|2016-04-19|2016-04-20|130
258|S31|2016-04-19|2016-04-20|130
259|S32|2016-04-19|2016-04-20|130
260|N22|2016-06-10|2016-06-15|131
261|N23|2016-06-10|2016-06-15|131
262|S0|2016-05-13|2016-05-22|132
263|S1|2016-05-13|2016-05-22|132
264|S4|2016-05-13|2016-05-22|132
265|S20|2016-05-10|2016-05-11|133
266|S21|2016-05-10|2016-05-11|133
267|L2|2016-05-26|2016-05-30|134
268|L7|2016-05-26|2016-05-30|134
269|S2|2016-05-13|2016-05-19|135
270|S3|2016-05-13|2016-05-19|135
271|S12|2016-05-13|2016-05-19|135
272|S13|2016-05-13|2016-05-19|135
273|N2|2016-04-12|2016-04-21|136
274|N0|2016-05-25|2016-05-30|137
275|N15|2016-05-25|2016-05-30|137
276|N16|2016-05-25|2016-05-30|137
277|N17|2016-05-25|2016-05-30|137
278|N18|2016-05-25|2016-05-30|137
279|N19|2016-05-25|2016-05-30|137
280|N23|2016-05-25|2016-05-30|137
281|N24|2016-05-25|2016-05-30|137
282|N25|2016-05-25|2016-05-30|137
283|N4|2016-06-17|2016-06-19|138
284|N11|2016-06-17|2016-06-19|138
285|N12|2016-06-17|2016-06-19|138
286|N15|2016-06-17|2016-06-19|138
287|N27|2016-06-17|2016-06-19|138
288|D5|2016-05-25|2016-05-28|139
289|D8|2016-05-25|2016-05-28|139
290|S6|2016-05-02|2016-05-18|140
291|S7|2016-05-02|2016-05-18|140
292|S8|2016-05-02|2016-05-18|140
293|S9|2016-05-02|2016-05-18|140
294|S10|2016-05-02|2016-05-18|140
295|S11|2016-05-02|2016-05-18|140
296|S5|2016-05-20|2016-05-24|142
297|S6|2016-05-20|2016-05-24|142
298|S7|2016-05-20|2016-05-24|142
299|L3|2016-04-14|2016-04-21|143
300|L18|2016-06-08|2016-06-09|144
301|N0|2016-04-16|2016-04-22|145
302|S22|2016-06-10|2016-06-12|146
303|S23|2016-06-10|2016-06-12|146
304|L0|2016-04-20|2016-04-29|147
305|L2|2016-05-19|2016-05-21|148
306|L1|2016-06-21|2016-06-27|149
307|S8|2016-05-18|2016-05-21|150
308|S9|2016-05-18|2016-05-21|150
309|S10|2016-05-18|2016-05-21|150
310|S11|2016-05-18|2016-05-21|150
311|S12|2016-05-18|2016-05-21|150
312|L8|2016-05-10|2016-05-13|153
313|N0|2016-05-17|2016-05-20|154
314|N1|2016-05-17|2016-05-20|154
315|N2|2016-05-17|2016-05-20|154
316|N9|2016-05-17|2016-05-20|154
317|N11|2016-05-17|2016-05-20|154
318|N12|2016-05-17|2016-05-20|154
319|S2|2016-04-23|2016-04-25|155
320|S6|2016-04-23|2016-04-25|155
321|S8|2016-05-21|2016-05-26|156
322|L5|2016-06-29|2016-07-02|157
323|L6|2016-06-29|2016-07-02|157
324|D1|2016-06-14|2016-06-18|158
325|D5|2016-05-20|2016-05-23|159
326|L2|2016-06-12|2016-06-14|160
327|X1|2016-06-24|2016-06-28|161
328|X2|2016-06-24|2016-06-28|161
329|D15|2016-06-26|2016-07-01|162
330|D16|2016-06-26|2016-07-01|162
331|L2|2016-06-22|2016-06-29|163
332|L3|2016-05-25|2016-06-03|164
333|L4|2016-05-25|2016-06-03|164
334|D1|2016-04-29|2016-05-06|165
335|N3|2016-06-10|2016-06-17|166
336|L3|2016-06-22|2016-07-01|167
337|N8|2016-04-24|2016-05-01|168
338|N9|2016-04-24|2016-05-01|168
339|N10|2016-04-24|2016-05-01|168
340|L3|2016-05-16|2016-05-22|169
341|L4|2016-05-16|2016-05-22|169
342|X25|2016-06-10|2016-06-11|170
343|X25|2016-06-17|2016-06-19|171
344|S0|2016-04-09|2016-04-11|172
345|S1|2016-04-09|2016-04-11|172
346|S2|2016-04-09|2016-04-11|172
347|S3|2016-04-09|2016-04-11|172
348|L3|2016-06-03|2016-06-05|173
349|L10|2016-06-03|2016-06-05|173
350|N11|2016-04-27|2016-05-02|174
351|N12|2016-04-27|2016-05-02|174
352|X2|2016-04-20|2016-04-24|175
353|X3|2016-04-20|2016-04-24|175
354|D0|2016-04-14|2016-04-16|176
355|D0|2016-05-01|2016-05-06|177
356|D0|2016-05-24|2016-06-01|178
357|D1|2016-05-24|2016-06-01|178
358|D2|2016-05-24|2016-06-01|178
359|L0|2016-05-15|2016-05-19|179
360|X3|2016-06-24|2016-07-05|181
361|X2|2016-06-12|2016-06-20|183
362|X3|2016-06-12|2016-06-20|183
363|X4|2016-06-12|2016-06-20|183
364|L3|2016-05-05|2016-05-09|184
365|L5|2016-05-05|2016-05-09|184
366|X4|2016-04-20|2016-04-29|185
367|X3|2016-04-19|2016-04-20|186
368|N6|2016-06-04|2016-06-06|187
369|N29|2016-06-04|2016-06-06|187
370|N30|2016-06-04|2016-06-06|187
371|N31|2016-06-04|2016-06-06|187
372|X5|2016-06-16|2016-06-22|188
373|X6|2016-06-16|2016-06-22|188
374|N3|2016-06-17|2016-06-22|189
375|D2|2016-06-09|2016-06-21|190
376|D3|2016-06-09|2016-06-21|190
377|S0|2016-04-24|2016-05-01|191
378|S1|2016-04-24|2016-05-01|191
379|S2|2016-04-24|2016-05-01|191
380|X13|2016-05-25|2016-05-27|192
381|X20|2016-05-25|2016-05-27|192
382|L4|2016-06-24|2016-06-29|193
383|N2|2016-05-24|2016-05-27|194
384|N3|2016-05-24|2016-05-27|194
385|X5|2016-04-19|2016-04-26|195
386|X7|2016-05-22|2016-05-26|196
387|X9|2016-05-22|2016-05-26|196
388|S132|2016-06-29|2016-06-30|197
389|S133|2016-06-29|2016-06-30|197
390|N4|2016-04-08|2016-04-10|198
391|D7|2016-06-08|2016-06-11|199
392|S6|2016-06-23|2016-06-28|200
393|S7|2016-06-23|2016-06-28|200
394|S8|2016-06-23|2016-06-28|200
395|S9|2016-06-23|2016-06-28|200
396|L1|2016-04-04|2016-04-08|201
397|L2|2016-04-04|2016-04-08|201
398|N26|2016-05-27|2016-05-29|202
399|X6|2016-05-03|2016-05-07|203
400|L1|2016-04-23|2016-04-26|205
401|L8|2016-05-21|2016-05-23|206
402|N3|2016-04-13|2016-04-17|207
403|N6|2016-04-13|2016-04-17|207
404|N7|2016-04-13|2016-04-17|207
405|N8|2016-04-13|2016-04-17|207
406|N9|2016-04-13|2016-04-17|207
407|N13|2016-04-13|2016-04-17|207
408|N14|2016-04-13|2016-04-17|207
409|S134|2016-06-29|2016-06-30|208
410|S135|2016-06-29|2016-06-30|208
411|S136|2016-06-29|2016-06-30|208
412|L1|2016-04-11|2016-04-21|209
413|L2|2016-04-11|2016-04-21|209
414|N3|2016-05-04|2016-05-07|210
415|N4|2016-05-04|2016-05-07|210
416|N12|2016-05-04|2016-05-07|210
417|N20|2016-05-04|2016-05-07|210
418|N21|2016-05-04|2016-05-07|210
419|D0|2016-04-18|2016-04-25|211
420|N0|2016-04-23|2016-04-27|212
421|N1|2016-04-23|2016-04-27|212
422|L3|2016-04-06|2016-04-13|213
423|D5|2016-05-30|2016-05-31|214
424|X0|2016-04-04|2016-04-10|215
425|D1|2016-06-22|2016-06-24|216
426|D2|2016-06-22|2016-06-24|216
427|D5|2016-06-22|2016-06-24|216
428|D10|2016-06-22|2016-06-24|216
429|N13|2016-04-27|2016-05-14|217
430|N14|2016-04-27|2016-05-14|217
431|N15|2016-04-27|2016-05-14|217
432|X4|2016-06-24|2016-06-27|218
433|X5|2016-06-24|2016-06-27|218
434|L6|2016-05-05|2016-05-08|219
435|D2|2016-05-10|2016-05-16|220
436|D3|2016-05-10|2016-05-16|220
437|L1|2016-04-26|2016-05-03|221
438|L2|2016-04-26|2016-05-03|221
439|S2|2016-04-15|2016-04-21|222
440|S3|2016-04-15|2016-04-21|222
441|S4|2016-04-15|2016-04-21|222
442|S5|2016-04-15|2016-04-21|222
443|S6|2016-04-15|2016-04-21|222
444|X7|2016-06-13|2016-06-19|223
445|L1|2016-06-20|2016-06-21|224
446|L7|2016-05-06|2016-05-08|225
447|X0|2016-05-27|2016-05-29|226
448|X3|2016-05-27|2016-05-29|226
449|L8|2016-05-03|2016-05-08|227
450|L9|2016-05-03|2016-05-08|227
451|S12|2016-05-03|2016-05-12|228
452|S16|2016-05-03|2016-05-12|228
453|S17|2016-05-03|2016-05-12|228
454|L5|2016-05-25|2016-06-02|229
455|L6|2016-05-25|2016-06-02|229
456|X3|2016-05-31|2016-06-03|230
457|N4|2016-06-14|2016-06-18|231
458|N71|2016-06-27|2016-07-01|232
459|N72|2016-06-27|2016-07-01|232
460|N73|2016-06-27|2016-07-01|232
461|N74|2016-06-27|2016-07-01|232
462|N3|2016-04-07|2016-04-14|233
463|X1|2016-04-03|2016-04-05|234
464|D13|2016-05-24|2016-05-28|235
465|D14|2016-05-24|2016-05-28|235
466|S1|2016-06-14|2016-06-17|236
467|S2|2016-06-14|2016-06-17|236
468|S3|2016-06-14|2016-06-17|236
469|S4|2016-06-14|2016-06-17|236
470|S5|2016-06-14|2016-06-17|236
471|S9|2016-04-13|2016-04-20|237
472|S10|2016-04-13|2016-04-20|237
473|S14|2016-04-13|2016-04-20|237
474|S15|2016-04-13|2016-04-20|237
475|S16|2016-04-13|2016-04-20|237
476|N43|2016-06-11|2016-06-15|239
477|N44|2016-06-11|2016-06-15|239
478|N45|2016-06-11|2016-06-15|239
479|N46|2016-06-11|2016-06-15|239
480|N86|2016-06-11|2016-06-15|239
481|S4|2016-06-03|2016-06-11|240
482|S5|2016-06-03|2016-06-11|240
483|D3|2016-04-08|2016-04-17|241
484|L9|2016-05-17|2016-05-20|242
485|D1|2016-04-22|2016-04-24|243
486|X2|2016-04-27|2016-05-01|244
487|X3|2016-04-27|2016-05-01|244
488|X4|2016-04-27|2016-05-01|244
489|X4|2016-06-06|2016-06-08|245
490|X5|2016-06-06|2016-06-08|245
491|L10|2016-05-07|2016-05-10|246
492|X1|2016-04-05|2016-04-08|247
493|X2|2016-04-05|2016-04-08|247
494|D1|2016-04-14|2016-04-16|248
495|D3|2016-05-29|2016-06-02|249
496|D4|2016-05-29|2016-06-02|249
497|D19|2016-05-14|2016-05-15|250
498|D48|2016-05-14|2016-05-15|250
499|D2|2016-04-29|2016-05-03|251
500|D3|2016-04-29|2016-05-03|251
501|D3|2016-04-04|2016-04-09|252
502|X6|2016-04-19|2016-04-22|253
503|S10|2016-06-20|2016-07-01|254
504|S11|2016-06-20|2016-07-01|254
505|S12|2016-06-20|2016-07-01|254
506|S13|2016-06-20|2016-07-01|254
507|S14|2016-06-20|2016-07-01|254
508|S4|2016-04-07|2016-04-08|255
509|S5|2016-04-07|2016-04-08|255
510|S6|2016-04-07|2016-04-08|255
511|S7|2016-04-07|2016-04-08|255
512|S0|2016-04-11|2016-04-16|256
513|S1|2016-04-11|2016-04-16|256
514|L4|2016-04-12|2016-04-17|257
515|L5|2016-04-12|2016-04-17|257
516|X0|2016-05-14|2016-05-18|259
517|L5|2016-06-25|2016-06-29|260
518|S18|2016-05-04|2016-05-18|261
519|S19|2016-05-04|2016-05-18|261
520|X7|2016-04-21|2016-04-23|262
521|S22|2016-06-14|2016-06-15|263
522|S23|2016-06-14|2016-06-15|263
523|S24|2016-06-14|2016-06-15|263
524|S37|2016-06-14|2016-06-15|263
525|S58|2016-06-14|2016-06-15|263
526|L6|2016-06-25|2016-06-28|264
527|S16|2016-05-27|2016-05-28|265
528|S17|2016-05-27|2016-05-28|265
529|D2|2016-06-03|2016-06-08|266
530|S12|2016-04-30|2016-05-03|267
531|S16|2016-04-30|2016-05-03|267
532|S17|2016-04-30|2016-05-03|267
533|N5|2016-04-09|2016-04-11|268
534|N9|2016-04-09|2016-04-11|268
535|N13|2016-04-09|2016-04-11|268
536|N14|2016-04-16|2016-04-20|269
537|N15|2016-04-16|2016-04-20|269
538|N20|2016-04-16|2016-04-20|269
539|N21|2016-04-16|2016-04-20|269
540|N24|2016-04-16|2016-04-20|269
541|N0|2016-05-14|2016-05-18|270
542|N1|2016-05-14|2016-05-18|270
543|N2|2016-05-14|2016-05-18|270
544|N9|2016-05-14|2016-05-18|270
545|D15|2016-05-24|2016-05-27|271
546|D16|2016-05-24|2016-05-27|271
547|S6|2016-06-17|2016-06-20|272
548|D6|2016-05-17|2016-05-23|273
549|D7|2016-05-18|2016-05-23|274
550|X6|2016-06-21|2016-06-27|275
551|X7|2016-06-21|2016-06-27|275
552|N7|2016-04-05|2016-04-07|276
553|N8|2016-04-05|2016-04-07|276
554|D2|2016-05-02|2016-05-05|277
555|L3|2016-05-09|2016-05-12|278
556|L3|2016-04-04|2016-04-11|279
557|N30|2016-05-21|2016-05-24|280
558|N31|2016-05-21|2016-05-24|280
559|N32|2016-05-21|2016-05-24|280
560|N33|2016-05-21|2016-05-24|280
561|X0|2016-04-12|2016-04-19|283
562|X1|2016-04-12|2016-04-19|283
563|N16|2016-04-28|2016-05-08|284
564|N17|2016-04-28|2016-05-08|284
565|N18|2016-04-28|2016-05-08|284
566|N19|2016-04-28|2016-05-08|284
567|S6|2016-06-09|2016-06-11|285
568|S7|2016-06-09|2016-06-11|285
569|S8|2016-06-09|2016-06-11|285
570|L11|2016-05-04|2016-05-19|286
571|D8|2016-05-20|2016-05-25|287
572|X2|2016-04-17|2016-04-20|288
573|D0|2016-06-13|2016-06-15|289
574|L7|2016-05-29|2016-06-01|290
575|N9|2016-05-03|2016-05-12|291
576|N10|2016-05-03|2016-05-12|291
577|N11|2016-05-03|2016-05-12|291
578|S15|2016-06-23|2016-06-28|292
579|S16|2016-06-23|2016-06-28|292
580|S17|2016-06-23|2016-06-28|292
581|S18|2016-06-23|2016-06-28|292
582|N4|2016-04-10|2016-04-16|293
583|N5|2016-04-10|2016-04-16|293
584|D4|2016-04-08|2016-04-15|294
585|D5|2016-04-08|2016-04-15|294
586|D1|2016-05-01|2016-05-14|295
587|D3|2016-06-07|2016-06-08|296
588|D4|2016-06-07|2016-06-08|296
589|S30|2016-05-08|2016-05-10|297
590|S31|2016-05-08|2016-05-10|297
591|N5|2016-06-12|2016-06-23|298
592|N6|2016-06-12|2016-06-23|298
593|N7|2016-06-12|2016-06-23|298
594|N8|2016-06-12|2016-06-23|298
595|S6|2016-06-16|2016-06-18|299
596|S7|2016-06-16|2016-06-18|299
597|S8|2016-06-16|2016-06-18|299
598|D5|2016-05-31|2016-06-02|300
599|X8|2016-04-17|2016-04-24|301
600|L7|2016-06-25|2016-06-30|302
601|L8|2016-06-25|2016-06-30|302
602|N22|2016-05-01|2016-05-05|303
603|N23|2016-05-01|2016-05-05|303
604|N24|2016-05-01|2016-05-05|303
605|N25|2016-05-01|2016-05-05|303
606|N26|2016-05-01|2016-05-05|303
607|N27|2016-05-01|2016-05-05|303
608|N28|2016-05-01|2016-05-05|303
609|L3|2016-05-12|2016-05-16|304
610|L4|2016-05-12|2016-05-16|304
611|D27|2016-06-28|2016-06-29|305
612|D31|2016-06-28|2016-06-29|305
613|D36|2016-06-28|2016-06-29|305
614|X7|2016-05-04|2016-05-07|306
615|L8|2016-05-28|2016-06-04|307
616|L9|2016-05-28|2016-06-04|307
617|D0|2016-05-09|2016-05-13|308
618|D6|2016-05-09|2016-05-13|308
619|L2|2016-06-16|2016-06-23|309
620|L10|2016-05-25|2016-06-03|310
621|L3|2016-04-29|2016-05-05|311
622|L1|2016-04-13|2016-04-22|312
623|D4|2016-05-12|2016-05-17|313
624|S13|2016-06-05|2016-06-12|314
625|S14|2016-06-05|2016-06-12|314
626|X8|2016-06-20|2016-06-26|315
627|N23|2016-05-31|2016-06-06|316
628|N24|2016-05-31|2016-06-06|316
629|N25|2016-05-31|2016-06-06|316
630|N26|2016-05-31|2016-06-06|316
631|S13|2016-05-20|2016-05-26|317
632|S14|2016-05-20|2016-05-26|317
633|S15|2016-05-20|2016-05-26|317
634|S19|2016-06-27|2016-06-28|318
635|S20|2016-06-27|2016-06-28|318
636|S36|2016-06-27|2016-06-28|318
637|S37|2016-06-27|2016-06-28|318
638|S53|2016-06-27|2016-06-28|318
639|L9|2016-06-21|2016-06-27|319
640|L6|2016-04-04|2016-04-16|320
641|D6|2016-05-31|2016-06-03|321
642|D7|2016-05-31|2016-06-03|321
643|D8|2016-05-31|2016-06-03|321
644|D2|2016-06-26|2016-07-04|323
645|N6|2016-04-07|2016-04-13|324
646|N7|2016-04-07|2016-04-13|324
647|N8|2016-04-07|2016-04-13|324
648|D1|2016-04-21|2016-04-23|325
649|D2|2016-04-21|2016-04-23|325
650|D20|2016-05-11|2016-05-15|326
651|D22|2016-05-11|2016-05-15|326
652|D3|2016-05-01|2016-05-05|327
653|N12|2016-05-07|2016-05-09|328
654|N20|2016-05-07|2016-05-09|328
655|N21|2016-05-07|2016-05-09|328
656|N22|2016-05-07|2016-05-09|328
657|N23|2016-05-07|2016-05-09|328
658|N24|2016-05-07|2016-05-09|328
659|N25|2016-05-07|2016-05-09|328
660|N26|2016-05-07|2016-05-09|328
661|N27|2016-05-07|2016-05-09|328
662|N0|2016-06-09|2016-06-11|329
663|N1|2016-06-09|2016-06-11|329
664|L1|2016-05-23|2016-05-24|330
665|L2|2016-05-23|2016-05-24|330
