dest room|bill room|date|time|#orders|menu id
S3|S3|2016-05-06|08:08:00|1|4
restaurant|L1|2016-05-06|00:31:00|3|10
restaurant|L1|2016-05-08|17:14:00|3|7
restaurant|S16|2016-07-03|21:55:00|2|10
S18|S18|2016-07-05|03:45:00|5|4
S19|S19|2016-07-01|16:44:00|3|13
S19|S19|2016-07-06|13:10:00|2|3
restaurant|S20|2016-06-28|16:43:00|2|8
restaurant|S20|2016-07-04|00:58:00|5|10
restaurant|L0|2016-05-08|21:57:00|1|9
restaurant|L0|2016-05-01|00:37:00|4|13
N15|N15|2016-06-03|14:15:00|4|12
restaurant|N16|2016-06-06|11:51:00|4|9
N19|N19|2016-06-01|17:32:00|5|12
restaurant|S3|2016-05-28|07:30:00|2|8
S3|S3|2016-05-26|10:18:00|2|12
restaurant|S3|2016-05-27|15:22:00|2|0
restaurant|S4|2016-05-15|12:59:00|3|13
restaurant|S4|2016-05-14|23:18:00|1|9
S4|S4|2016-05-09|00:23:00|3|6
S5|S5|2016-05-14|21:44:00|3|11
S5|S5|2016-05-13|15:24:00|4|10
restaurant|S0|2016-06-24|18:48:00|4|5
restaurant|S0|2016-06-23|20:32:00|1|13
S1|S1|2016-06-17|12:44:00|3|5
restaurant|S3|2016-06-25|16:24:00|4|9
S14|S14|2016-06-02|14:13:00|3|2
restaurant|S15|2016-06-02|05:57:00|4|13
restaurant|S16|2016-06-04|07:25:00|4|12
restaurant|S2|2016-06-09|18:14:00|4|11
S2|S2|2016-06-07|09:29:00|1|2
S3|S3|2016-06-14|05:02:00|4|13
restaurant|S8|2016-04-20|20:07:00|4|1
restaurant|L2|2016-05-08|21:45:00|1|14
restaurant|L2|2016-05-04|15:03:00|2|2
restaurant|L2|2016-05-13|21:02:00|1|13
L2|L2|2016-05-06|02:05:00|1|10
L2|L2|2016-05-11|20:39:00|2|10
restaurant|L2|2016-05-11|05:03:00|5|9
restaurant|L2|2016-05-10|13:31:00|1|5
L2|L2|2016-05-05|21:25:00|4|11
L2|L2|2016-05-12|18:15:00|5|2
restaurant|L0|2016-04-10|01:05:00|5|7
L2|L2|2016-06-01|07:07:00|4|12
restaurant|S5|2016-06-27|23:43:00|5|11
restaurant|L0|2016-04-16|03:22:00|3|1
restaurant|L0|2016-04-17|01:48:00|4|5
restaurant|L0|2016-04-16|07:44:00|3|8
L2|L2|2016-05-21|07:04:00|5|7
restaurant|L7|2016-05-22|19:55:00|5|12
restaurant|L1|2016-06-15|23:47:00|4|11
restaurant|S0|2016-05-14|03:41:00|3|14
restaurant|S1|2016-05-19|01:05:00|3|4
S2|S2|2016-05-16|04:51:00|1|5
restaurant|S3|2016-05-14|21:35:00|5|14
S12|S12|2016-05-16|22:47:00|4|13
restaurant|S6|2016-05-16|17:58:00|3|9
restaurant|S7|2016-05-10|19:57:00|3|10
restaurant|S7|2016-05-06|12:35:00|3|15
S8|S8|2016-05-17|17:33:00|2|6
restaurant|S8|2016-05-16|16:53:00|5|13
restaurant|S8|2016-05-09|19:22:00|4|7
S9|S9|2016-05-03|08:24:00|1|2
restaurant|S9|2016-05-15|14:17:00|5|4
restaurant|S10|2016-05-13|10:46:00|3|11
restaurant|S10|2016-05-17|17:05:00|1|15
restaurant|S10|2016-05-02|06:28:00|5|6
restaurant|S11|2016-05-03|14:59:00|3|8
S11|S11|2016-05-17|23:06:00|3|6
S11|S11|2016-05-03|06:16:00|3|12
restaurant|S11|2016-05-14|16:05:00|2|10
S5|S5|2016-05-23|02:51:00|1|6
S7|S7|2016-05-21|21:59:00|2|7
L3|L3|2016-04-15|18:20:00|3|0
restaurant|L3|2016-04-18|22:58:00|2|8
L0|L0|2016-04-23|03:11:00|3|9
L0|L0|2016-04-24|14:08:00|3|4
L0|L0|2016-04-22|05:22:00|3|5
restaurant|L0|2016-04-21|21:41:00|3|0
restaurant|L2|2016-05-20|19:53:00|2|7
restaurant|L8|2016-05-12|05:11:00|3|14
L5|L5|2016-06-30|00:19:00|1|4
restaurant|L6|2016-06-29|01:43:00|1|5
L6|L6|2016-06-29|00:08:00|2|14
L2|L2|2016-06-26|20:36:00|5|6
L2|L2|2016-06-26|12:33:00|3|6
L2|L2|2016-06-26|13:03:00|3|2
restaurant|L2|2016-06-25|13:15:00|2|8
L3|L3|2016-05-25|08:39:00|3|8
restaurant|L3|2016-05-31|16:01:00|2|10
restaurant|L4|2016-05-26|21:12:00|5|13
restaurant|L4|2016-06-01|03:50:00|2|7
restaurant|L4|2016-05-30|06:40:00|4|9
L4|L4|2016-06-02|22:38:00|2|8
restaurant|L4|2016-05-29|18:35:00|3|14
restaurant|L4|2016-05-30|01:28:00|1|11
L3|L3|2016-05-21|15:48:00|5|3
L3|L3|2016-05-17|13:21:00|1|12
L3|L3|2016-05-17|21:20:00|4|15
restaurant|L3|2016-05-16|10:22:00|2|13
restaurant|L4|2016-05-19|12:03:00|4|14
restaurant|L4|2016-05-19|11:20:00|4|15
restaurant|L4|2016-05-21|09:50:00|1|11
L10|L10|2016-06-04|04:26:00|3|9
restaurant|L0|2016-05-16|03:58:00|5|15
restaurant|L0|2016-05-16|15:44:00|5|8
restaurant|L3|2016-05-06|05:46:00|5|15
L5|L5|2016-05-07|10:47:00|5|11
restaurant|D2|2016-06-14|23:14:00|1|15
restaurant|S0|2016-04-28|23:42:00|2|8
restaurant|S1|2016-04-26|04:23:00|2|3
S2|S2|2016-04-25|13:50:00|4|9
L4|L4|2016-06-25|06:28:00|1|2
S7|S7|2016-06-23|18:03:00|4|6
restaurant|S8|2016-06-23|12:04:00|2|6
restaurant|S9|2016-06-27|08:50:00|2|11
L1|L1|2016-04-04|19:12:00|3|4
restaurant|L2|2016-04-06|18:15:00|1|13
restaurant|L1|2016-04-23|20:38:00|2|3
restaurant|L1|2016-04-18|09:28:00|4|4
restaurant|L2|2016-04-20|12:51:00|5|12
restaurant|L2|2016-04-13|02:49:00|1|8
L2|L2|2016-04-11|05:49:00|3|14
L2|L2|2016-04-11|16:02:00|3|7
L2|L2|2016-04-16|04:30:00|3|3
restaurant|N14|2016-05-10|20:38:00|2|14
restaurant|N15|2016-05-06|21:28:00|3|9
L6|L6|2016-05-05|20:47:00|4|6
L6|L6|2016-05-07|13:06:00|3|0
restaurant|L1|2016-04-30|13:29:00|4|13
restaurant|L1|2016-04-29|19:00:00|1|5
L2|L2|2016-04-27|02:19:00|3|13
L2|L2|2016-05-01|14:02:00|1|10
restaurant|L2|2016-04-27|23:33:00|3|9
L2|L2|2016-04-27|22:16:00|1|4
restaurant|S6|2016-04-16|20:58:00|5|1
restaurant|L8|2016-05-03|07:44:00|5|0
restaurant|L8|2016-05-06|20:25:00|5|3
restaurant|S12|2016-05-04|06:11:00|1|15
restaurant|S16|2016-05-09|05:55:00|1|15
S16|S16|2016-05-05|13:00:00|4|1
restaurant|L5|2016-05-26|06:29:00|2|6
restaurant|L5|2016-05-26|04:41:00|2|14
L5|L5|2016-05-28|00:01:00|1|10
L6|L6|2016-05-28|16:20:00|1|6
restaurant|L6|2016-05-31|22:49:00|3|8
restaurant|L6|2016-05-28|16:34:00|5|7
L6|L6|2016-05-31|16:31:00|3|12
L6|L6|2016-05-27|07:36:00|1|7
restaurant|S10|2016-04-17|18:52:00|2|1
restaurant|S14|2016-04-17|03:41:00|5|9
restaurant|S14|2016-04-19|16:10:00|4|8
restaurant|S15|2016-04-15|10:31:00|3|13
restaurant|S4|2016-06-04|03:59:00|4|14
restaurant|S5|2016-06-05|11:40:00|1|5
restaurant|S5|2016-06-09|12:19:00|4|9
L10|L10|2016-05-09|23:15:00|2|3
restaurant|L10|2016-05-08|12:07:00|5|15
restaurant|S11|2016-06-26|06:14:00|2|14
S12|S12|2016-06-24|07:24:00|1|2
S12|S12|2016-06-28|05:10:00|5|1
restaurant|S13|2016-06-21|19:09:00|1|4
restaurant|S13|2016-06-26|10:47:00|4|1
S13|S13|2016-06-28|02:57:00|5|3
S14|S14|2016-06-24|05:01:00|2|3
S0|S0|2016-04-12|10:14:00|5|14
S1|S1|2016-04-11|01:47:00|5|8
restaurant|L4|2016-04-15|08:27:00|2|6
L4|L4|2016-04-12|03:10:00|3|13
L4|L4|2016-04-12|10:37:00|1|1
S18|S18|2016-05-08|10:32:00|5|14
S18|S18|2016-05-13|01:11:00|3|15
S18|S18|2016-05-06|08:57:00|3|13
S18|S18|2016-05-14|15:39:00|2|1
L3|L3|2016-04-05|08:02:00|2|9
restaurant|N16|2016-05-04|23:01:00|2|7
N19|N19|2016-04-29|01:19:00|4|9
restaurant|L11|2016-05-10|01:03:00|4|13
restaurant|L11|2016-05-06|07:18:00|5|4
restaurant|L11|2016-05-11|22:17:00|4|0
restaurant|L11|2016-05-17|05:21:00|4|9
restaurant|L11|2016-05-13|16:19:00|2|6
L7|L7|2016-05-31|23:14:00|4|3
restaurant|S15|2016-06-27|19:33:00|3|0
S16|S16|2016-06-26|03:35:00|1|11
restaurant|S18|2016-06-26|07:05:00|4|5
restaurant|D1|2016-05-03|11:00:00|2|14
restaurant|N7|2016-06-15|04:54:00|4|4
restaurant|L7|2016-06-28|06:09:00|1|15
L7|L7|2016-06-26|15:44:00|4|7
restaurant|L8|2016-06-29|01:43:00|1|6
L3|L3|2016-05-15|18:10:00|3|2
restaurant|L4|2016-05-15|01:55:00|2|13
L8|L8|2016-05-31|12:09:00|3|6
L8|L8|2016-06-02|11:08:00|1|15
restaurant|L8|2016-05-29|19:12:00|3|14
restaurant|L8|2016-05-28|01:09:00|2|5
L2|L2|2016-06-18|13:18:00|4|2
L2|L2|2016-06-19|11:32:00|3|5
restaurant|L2|2016-06-22|13:38:00|4|5
L10|L10|2016-05-29|09:32:00|2|3
restaurant|L10|2016-05-30|05:46:00|5|12
restaurant|L10|2016-06-02|08:21:00|3|10
L3|L3|2016-05-04|06:13:00|2|11
L3|L3|2016-04-30|09:54:00|5|9
L3|L3|2016-05-04|05:03:00|4|6
restaurant|L1|2016-04-16|19:05:00|3|2
restaurant|L1|2016-04-19|23:45:00|1|6
restaurant|S13|2016-06-11|22:12:00|1|15
S13|S13|2016-06-11|02:35:00|1|2
S14|S14|2016-06-09|07:08:00|2|2
restaurant|S14|2016-06-08|11:55:00|1|8
S15|S15|2016-05-25|17:12:00|5|0
restaurant|L9|2016-06-21|09:06:00|4|15
L9|L9|2016-06-24|16:08:00|2|5
restaurant|L9|2016-06-23|08:32:00|2|1
restaurant|L12|2016-05-21|12:40:00|5|10
restaurant|L12|2016-05-25|21:31:00|3|11
restaurant|L12|2016-05-21|14:51:00|2|1
L12|L12|2016-05-30|02:39:00|1|8
restaurant|L13|2016-05-24|14:34:00|3|6
restaurant|L12|2016-05-03|14:26:00|2|15
L12|L12|2016-05-08|11:32:00|2|2
restaurant|L4|2016-04-28|12:39:00|4|10
restaurant|L4|2016-05-04|14:28:00|4|4
L4|L4|2016-04-27|23:53:00|5|4
L4|L4|2016-05-05|12:18:00|1|15
restaurant|L4|2016-05-06|10:43:00|5|8
restaurant|L5|2016-05-12|18:37:00|1|7
L5|L5|2016-05-10|23:41:00|3|1
L5|L5|2016-05-13|15:41:00|5|7
restaurant|L5|2016-05-12|14:40:00|1|0
restaurant|S19|2016-06-20|18:09:00|1|13
restaurant|S19|2016-06-20|16:33:00|2|2
restaurant|S21|2016-06-19|22:01:00|4|4
S21|S21|2016-06-21|19:11:00|4|0
S21|S21|2016-06-25|10:50:00|2|5
L13|L13|2016-05-14|08:52:00|2|3
S13|S13|2016-04-21|18:00:00|2|12
S14|S14|2016-04-21|19:41:00|2|0
restaurant|S16|2016-04-16|20:38:00|5|11
S17|S17|2016-04-16|05:34:00|1|5
S7|S7|2016-04-25|10:33:00|3|12
restaurant|S13|2016-04-22|03:17:00|4|10
S15|S15|2016-04-23|19:06:00|4|2
S18|S18|2016-04-24|21:01:00|4|14
restaurant|S20|2016-04-20|19:24:00|5|0
restaurant|L7|2016-05-13|14:20:00|1|1
L7|L7|2016-05-15|07:32:00|4|13
L7|L7|2016-05-14|15:52:00|2|9
restaurant|L7|2016-05-17|16:18:00|5|13
L8|L8|2016-05-13|11:52:00|4|2
restaurant|L7|2016-07-04|20:37:00|2|14
restaurant|L7|2016-06-28|05:47:00|4|4
restaurant|L8|2016-07-01|19:26:00|1|1
restaurant|L8|2016-07-01|17:33:00|1|15
L8|L8|2016-07-01|04:14:00|2|9
S2|S2|2016-05-10|04:54:00|4|10
restaurant|S12|2016-05-10|05:28:00|5|15
restaurant|L8|2016-06-04|12:11:00|1|4
L16|L16|2016-05-07|12:31:00|2|2
restaurant|L16|2016-05-04|21:12:00|1|0
restaurant|L5|2016-05-21|17:35:00|5|14
restaurant|L6|2016-05-16|09:23:00|2|0
restaurant|L6|2016-05-20|22:54:00|1|9
restaurant|L6|2016-05-19|12:09:00|1|7
restaurant|S25|2016-04-15|19:50:00|1|9
S25|S25|2016-04-16|19:33:00|5|14
S3|S3|2016-04-24|19:34:00|5|7
restaurant|S3|2016-04-24|23:33:00|2|9
restaurant|S4|2016-04-27|19:04:00|3|9
restaurant|S4|2016-04-29|21:37:00|4|15
S5|S5|2016-05-01|16:16:00|3|12
restaurant|S5|2016-04-21|04:41:00|4|11
restaurant|L7|2016-04-09|00:05:00|4|10
L9|L9|2016-05-14|10:48:00|3|10
restaurant|L9|2016-05-12|13:55:00|1|0
L9|L9|2016-05-11|12:37:00|4|0
restaurant|S8|2016-04-09|00:30:00|2|15
restaurant|S19|2016-05-21|17:24:00|3|4
S20|S20|2016-05-18|19:44:00|1|6
restaurant|S21|2016-05-20|12:10:00|5|11
L3|L3|2016-06-17|18:03:00|1|7
N42|N42|2016-05-17|01:35:00|5|9
N44|N44|2016-05-15|02:12:00|5|3
restaurant|L10|2016-05-15|01:22:00|1|14
restaurant|S23|2016-05-16|14:46:00|5|8
restaurant|N11|2016-04-14|16:01:00|4|10
N12|N12|2016-04-24|21:41:00|3|9
S22|S22|2016-06-26|00:54:00|4|9
S11|S11|2016-06-08|12:36:00|5|2
restaurant|S12|2016-06-07|23:15:00|4|12
S37|S37|2016-06-06|03:10:00|2|15
L11|L11|2016-05-24|01:48:00|1|0
L11|L11|2016-05-25|09:48:00|1|13
L11|L11|2016-06-16|14:49:00|1|9
L11|L11|2016-06-13|04:49:00|2|8
restaurant|L11|2016-06-09|07:51:00|5|12
restaurant|L11|2016-05-24|13:05:00|1|13
restaurant|L11|2016-05-30|07:55:00|5|12
restaurant|L11|2016-05-26|23:13:00|4|12
restaurant|L11|2016-06-14|22:21:00|4|1
restaurant|L11|2016-06-09|06:22:00|4|3
restaurant|L11|2016-05-27|05:36:00|2|13
restaurant|L11|2016-05-27|16:25:00|4|1
restaurant|L11|2016-05-31|12:11:00|2|13
restaurant|L3|2016-04-25|03:13:00|5|14
restaurant|L3|2016-04-23|00:56:00|4|11
restaurant|L12|2016-05-15|08:19:00|4|5
restaurant|L12|2016-05-14|22:45:00|2|5
restaurant|L12|2016-05-15|20:13:00|3|5
S2|S2|2016-04-13|11:56:00|3|6
restaurant|S3|2016-04-13|15:12:00|2|8
restaurant|S5|2016-04-11|15:18:00|1|5
restaurant|S28|2016-06-26|00:01:00|3|2
S27|S27|2016-05-22|05:47:00|2|2
N0|N0|2016-07-01|22:59:00|3|1
N1|N1|2016-07-01|18:16:00|2|1
N2|N2|2016-07-05|07:17:00|1|2
restaurant|L16|2016-05-24|23:50:00|1|14
L16|L16|2016-05-23|03:05:00|3|8
restaurant|L2|2016-04-08|15:21:00|4|8
L1|L1|2016-06-28|22:18:00|5|6
L4|L4|2016-06-18|08:36:00|3|3
L4|L4|2016-06-18|21:04:00|4|11
L4|L4|2016-06-19|16:07:00|5|0
restaurant|L4|2016-06-16|05:41:00|2|10
restaurant|L8|2016-05-19|19:51:00|2|15
restaurant|L7|2016-06-11|00:17:00|5|0
L7|L7|2016-06-12|03:43:00|3|4
restaurant|L8|2016-04-13|23:45:00|3|5
L9|L9|2016-05-19|04:28:00|2|3
restaurant|S8|2016-04-14|01:12:00|4|4
S8|S8|2016-04-11|00:45:00|2|3
L5|L5|2016-04-02|15:57:00|4|3
restaurant|L5|2016-04-02|20:08:00|5|2
L5|L5|2016-04-04|12:41:00|3|1
restaurant|X4|2016-05-09|02:31:00|1|8
restaurant|L11|2016-06-28|15:05:00|4|12
L12|L12|2016-06-06|22:13:00|2|5
S18|S18|2016-05-27|19:31:00|5|15
restaurant|S18|2016-05-28|21:00:00|5|6
S19|S19|2016-05-30|09:18:00|3|3
S19|S19|2016-05-30|06:00:00|1|12
S20|S20|2016-05-28|22:53:00|2|15
S20|S20|2016-06-01|13:52:00|1|2
restaurant|S21|2016-06-02|04:08:00|5|14
restaurant|S21|2016-05-27|06:16:00|1|2
restaurant|L0|2016-06-10|17:18:00|1|6
L9|L9|2016-06-29|18:04:00|5|0
restaurant|L9|2016-06-28|17:48:00|4|15
L9|L9|2016-07-01|14:11:00|2|1
L6|L6|2016-06-27|19:42:00|3|5
L6|L6|2016-06-26|02:51:00|4|14
restaurant|L34|2016-06-27|01:39:00|2|6
restaurant|L34|2016-06-26|12:35:00|1|14
L12|L12|2016-06-24|07:40:00|4|3
restaurant|S4|2016-05-25|13:03:00|4|4
restaurant|L20|2016-05-09|12:44:00|5|9
L10|L10|2016-06-28|12:38:00|3|2
restaurant|S9|2016-06-12|14:02:00|1|10
restaurant|S9|2016-06-14|07:18:00|5|13
restaurant|S10|2016-06-11|02:57:00|4|11
restaurant|S12|2016-06-10|21:56:00|5|3
S22|S22|2016-05-08|05:27:00|1|0
S23|S23|2016-05-07|04:17:00|5|15
restaurant|D10|2016-05-28|06:29:00|5|5
L21|L21|2016-05-05|16:23:00|3|15
restaurant|L21|2016-05-10|16:23:00|2|2
L21|L21|2016-05-08|03:34:00|2|8
restaurant|L11|2016-07-04|07:08:00|4|6
restaurant|L11|2016-07-01|10:21:00|2|15
restaurant|L11|2016-06-30|21:48:00|5|9
restaurant|L12|2016-06-26|22:26:00|4|14
restaurant|L12|2016-07-03|20:30:00|5|3
restaurant|L12|2016-07-02|19:24:00|1|6
restaurant|L12|2016-06-26|03:36:00|2|12
restaurant|L12|2016-07-01|06:17:00|1|11
restaurant|L12|2016-07-02|16:33:00|4|10
restaurant|S8|2016-04-30|23:18:00|3|5
L5|L5|2016-06-19|00:58:00|2|5
restaurant|L5|2016-06-16|00:58:00|1|10
S7|S7|2016-05-23|10:30:00|4|0
restaurant|S30|2016-07-02|21:55:00|1|5
S30|S30|2016-06-26|15:52:00|2|5
restaurant|S30|2016-06-26|01:44:00|2|9
restaurant|S31|2016-07-02|10:21:00|4|8
S31|S31|2016-06-24|16:49:00|1|4
L6|L6|2016-04-30|09:36:00|4|8
restaurant|L6|2016-04-30|10:16:00|1|10
L7|L7|2016-04-29|18:26:00|1|6
L7|L7|2016-04-30|08:13:00|1|9
restaurant|L6|2016-06-16|07:47:00|4|11
restaurant|L6|2016-06-20|09:40:00|1|0
L6|L6|2016-06-11|02:51:00|3|0
L6|L6|2016-06-15|16:39:00|2|13
restaurant|L6|2016-06-15|08:25:00|5|8
restaurant|L6|2016-06-11|15:08:00|4|9
restaurant|L6|2016-06-11|16:09:00|5|8
restaurant|L0|2016-04-01|08:38:00|2|1
restaurant|D11|2016-06-06|03:49:00|5|15
restaurant|L8|2016-04-24|23:00:00|2|7
L8|L8|2016-04-21|23:32:00|5|8
restaurant|L8|2016-04-27|03:41:00|4|11
restaurant|L8|2016-04-19|19:58:00|1|0
L8|L8|2016-04-28|10:49:00|5|9
L8|L8|2016-04-27|08:12:00|5|4
restaurant|L8|2016-04-25|17:47:00|5|13
L8|L8|2016-04-29|20:38:00|1|15
L8|L8|2016-04-23|07:48:00|4|5
L1|L1|2016-06-19|18:50:00|3|13
restaurant|L1|2016-06-19|14:03:00|2|3
L7|L7|2016-04-06|23:04:00|5|8
L7|L7|2016-04-08|08:42:00|4|5
restaurant|S17|2016-06-11|06:29:00|5|6
restaurant|S17|2016-06-14|20:13:00|3|6
restaurant|S21|2016-06-09|17:05:00|2|15
S32|S32|2016-04-21|21:57:00|1|1
restaurant|S14|2016-06-12|06:03:00|2|15
S15|S15|2016-06-13|17:09:00|4|8
L6|L6|2016-05-06|12:25:00|5|13
restaurant|S30|2016-05-25|23:36:00|5|5
S24|S24|2016-05-08|10:34:00|4|4
S25|S25|2016-05-03|03:38:00|3|13
restaurant|L13|2016-06-26|09:06:00|5|5
L14|L14|2016-05-31|22:09:00|3|2
restaurant|L14|2016-06-01|08:44:00|3|0
S1|S1|2016-07-03|06:18:00|3|13
restaurant|S1|2016-07-07|17:07:00|2|13
restaurant|S2|2016-06-30|19:15:00|2|15
restaurant|S2|2016-07-07|07:16:00|1|0
restaurant|S3|2016-07-02|00:53:00|5|10
restaurant|S33|2016-06-24|01:06:00|2|11
restaurant|S35|2016-06-23|06:53:00|3|7
S36|S36|2016-06-25|20:06:00|3|13
L11|L11|2016-05-22|02:38:00|1|9
restaurant|S9|2016-04-30|10:26:00|4|9
restaurant|S10|2016-05-01|07:37:00|1|15
restaurant|S11|2016-04-26|15:00:00|2|0
restaurant|S11|2016-04-29|00:32:00|3|13
restaurant|L14|2016-06-25|23:47:00|3|6
L14|L14|2016-06-25|05:22:00|5|9
restaurant|L14|2016-06-27|20:06:00|3|13
L14|L14|2016-06-27|10:07:00|3|9
restaurant|S34|2016-04-22|17:44:00|5|1
restaurant|L7|2016-06-14|00:04:00|1|7
restaurant|L8|2016-04-05|23:11:00|1|10
restaurant|L8|2016-04-05|14:49:00|1|7
L8|L8|2016-04-01|01:56:00|2|12
L9|L9|2016-04-02|18:27:00|5|10
L9|L9|2016-04-05|08:21:00|1|13
restaurant|L9|2016-04-01|14:56:00|5|15
restaurant|S22|2016-06-29|22:38:00|5|4
S23|S23|2016-06-29|01:08:00|2|2
restaurant|L13|2016-05-14|15:15:00|1|0
L13|L13|2016-05-14|07:02:00|1|3
L15|L15|2016-07-02|11:35:00|1|5
L15|L15|2016-07-01|03:11:00|3|7
restaurant|L15|2016-07-02|05:05:00|1|4
L15|L15|2016-06-22|19:21:00|2|4
restaurant|L15|2016-06-29|19:07:00|1|6
L15|L15|2016-06-22|04:04:00|1|2
restaurant|L15|2016-06-24|14:59:00|3|7
restaurant|S13|2016-05-04|15:23:00|2|5
restaurant|S13|2016-05-01|22:11:00|3|14
restaurant|S13|2016-05-02|02:07:00|5|7
restaurant|S15|2016-04-29|11:45:00|5|13
S15|S15|2016-04-29|02:19:00|2|3
restaurant|S15|2016-05-03|10:07:00|5|1
restaurant|S40|2016-06-25|14:43:00|1|15
restaurant|D13|2016-05-31|13:52:00|3|8
L26|L26|2016-05-04|23:44:00|2|2
L26|L26|2016-05-06|16:24:00|1|1
L26|L26|2016-05-02|21:54:00|4|10
restaurant|L26|2016-05-10|17:45:00|5|3
restaurant|L26|2016-05-09|16:24:00|5|0
restaurant|L26|2016-05-03|08:56:00|5|12
restaurant|L26|2016-05-11|07:32:00|4|5
S14|S14|2016-05-18|01:54:00|3|5
restaurant|S16|2016-05-19|09:15:00|3|10
restaurant|L8|2016-06-24|18:31:00|3|3
L8|L8|2016-06-20|07:31:00|1|12
L8|L8|2016-06-23|02:16:00|2|9
restaurant|L8|2016-06-19|20:02:00|4|6
restaurant|L8|2016-06-21|20:56:00|3|8
L8|L8|2016-06-16|13:44:00|5|3
restaurant|L9|2016-06-17|06:25:00|4|13
L9|L9|2016-06-21|23:57:00|5|6
restaurant|L9|2016-06-20|12:21:00|5|12
restaurant|L9|2016-06-16|07:51:00|1|14
restaurant|L9|2016-06-16|11:47:00|1|7
D7|D7|2016-05-26|02:53:00|5|8
L22|L22|2016-05-17|00:45:00|2|2
D18|D18|2016-05-26|01:59:00|4|4
restaurant|D19|2016-05-22|20:18:00|5|9
restaurant|D20|2016-05-16|14:50:00|1|13
restaurant|S18|2016-04-24|13:00:00|4|9
restaurant|L12|2016-05-22|02:01:00|2|10
restaurant|L13|2016-05-21|13:30:00|1|10
restaurant|L13|2016-05-22|08:53:00|3|12
restaurant|S22|2016-06-17|00:01:00|2|13
restaurant|S22|2016-06-20|19:14:00|5|9
restaurant|S23|2016-06-17|20:49:00|2|0
S24|S24|2016-06-18|22:45:00|1|14
restaurant|S25|2016-06-19|15:54:00|1|15
S25|S25|2016-06-18|05:42:00|4|3
restaurant|L9|2016-04-11|09:12:00|3|8
L9|L9|2016-04-10|12:25:00|3|12
restaurant|X10|2016-04-25|02:12:00|2|8
L4|L4|2016-04-11|17:51:00|4|12
restaurant|X6|2016-05-10|20:52:00|3|12
L10|L10|2016-04-12|04:17:00|2|2
restaurant|L10|2016-06-16|12:40:00|4|9
restaurant|L10|2016-06-15|08:18:00|2|6
restaurant|L10|2016-06-11|18:47:00|4|10
L10|L10|2016-06-13|03:30:00|3|6
restaurant|L1|2016-06-12|20:49:00|3|7
L1|L1|2016-06-11|21:57:00|5|7
restaurant|L15|2016-06-03|12:54:00|1|0
restaurant|L15|2016-06-03|04:01:00|2|14
restaurant|L9|2016-04-28|20:26:00|2|3
restaurant|L9|2016-04-28|07:21:00|2|0
restaurant|X6|2016-05-10|16:27:00|2|15
restaurant|X7|2016-05-11|13:14:00|5|1
restaurant|L0|2016-05-14|11:20:00|5|15
restaurant|L14|2016-05-16|05:29:00|2|7
restaurant|L14|2016-05-16|23:56:00|1|0
restaurant|L15|2016-05-15|15:02:00|1|14
restaurant|L15|2016-05-15|11:25:00|3|1
L28|L28|2016-06-06|23:02:00|1|7
restaurant|L12|2016-06-16|10:15:00|1|11
L12|L12|2016-06-17|08:54:00|5|0
restaurant|L12|2016-06-16|05:28:00|4|8
L9|L9|2016-04-17|03:02:00|3|4
restaurant|L9|2016-04-19|13:55:00|2|5
S7|S7|2016-05-16|06:17:00|4|4
